task_id,task_description,task_category,workload_hours,created_date,deadline,status,completed_date,priority
1,Document setup process,Documentation,4.1,2025-05-27,2025-06-07,Done,2025-06-04,Low
2,Setup client call,Meeting,7.8,2025-05-25,2025-06-07,In Progress,,Low
3,Add user profile page,Feature,5.0,2025-05-22,2025-05-28,In Progress,,Low
4,Write API docs,Documentation,8.1,2025-05-11,2025-05-24,Done,2025-05-22,Low
5,Benchmark framework,Research,6.8,2025-05-03,2025-05-09,In Progress,,Low
6,Prototype user dashboard,Design,1.6,2025-05-12,2025-05-24,To Do,,Low
7,Write unit tests,Testing,7.2,2025-05-05,2025-05-19,Done,2025-05-16,Low
8,Debug UI glitch,Bug Fix,7.8,2025-05-03,2025-05-12,Done,2025-05-09,Medium
9,Push to production,Deployment,3.6,2025-05-22,2025-05-31,To Do,,Low
10,Implement notifications,Feature,2.9,2025-05-16,2025-05-30,Done,2025-05-28,Low
11,Prototype user dashboard,Design,6.8,2025-05-03,2025-05-14,To Do,,Low
12,Write API docs,Documentation,7.0,2025-05-01,2025-05-06,To Do,,Low
13,Document setup process,Documentation,3.2,2025-05-27,2025-05-31,In Progress,,Low
14,Resolve crash bug,Bug Fix,6.3,2025-05-01,2025-05-13,Done,2025-05-13,Medium
15,Deploy to staging,Deployment,9.3,2025-05-08,2025-05-15,Done,2025-05-15,Low
16,Study competitor tools,Research,4.8,2025-05-02,2025-05-09,In Progress,,Low
17,Schedule sprint planning,Meeting,3.5,2025-05-05,2025-05-08,To Do,,Low
18,Update README,Documentation,8.6,2025-05-23,2025-05-25,To Do,,Medium
19,Benchmark framework,Research,1.9,2025-05-06,2025-05-15,In Progress,,Low
20,Implement notifications,Feature,8.2,2025-05-28,2025-06-07,To Do,,Medium
21,Design homepage layout,Design,7.6,2025-05-29,2025-06-07,Done,2025-06-04,Low
22,Study competitor tools,Research,4.1,2025-05-05,2025-05-14,Done,2025-05-14,Low
23,Schedule sprint planning,Meeting,1.5,2025-05-27,2025-06-10,Done,2025-06-09,Low
24,Push to production,Deployment,2.8,2025-05-04,2025-05-15,Done,2025-05-12,Low
25,Schedule sprint planning,Meeting,7.6,2025-05-29,2025-06-09,Done,2025-06-08,Low
26,Design homepage layout,Design,9.4,2025-05-18,2025-05-31,Done,2025-05-30,Low
27,Push to production,Deployment,2.9,2025-05-25,2025-06-07,In Progress,,Low
28,Debug UI glitch,Bug Fix,4.6,2025-05-02,2025-05-05,To Do,,Medium
29,Benchmark framework,Research,3.3,2025-05-20,2025-05-25,In Progress,,Low
30,Create logo,Design,2.2,2025-05-15,2025-05-27,In Progress,,Low
31,Update README,Documentation,6.9,2025-05-30,2025-05-31,Done,2025-05-28,Medium
32,Implement notifications,Feature,2.5,2025-05-05,2025-05-09,To Do,,Medium
33,Add user profile page,Feature,8.6,2025-05-29,2025-06-09,To Do,,Medium
34,Investigate new ML model,Research,4.3,2025-05-15,2025-05-23,Done,2025-05-20,Low
35,Deploy to staging,Deployment,7.0,2025-05-05,2025-05-15,Done,2025-05-13,Low
36,Benchmark framework,Research,4.2,2025-05-14,2025-05-20,Done,2025-05-17,Low
37,Update README,Documentation,1.6,2025-05-19,2025-05-20,Done,2025-05-18,Low
38,Update README,Documentation,5.1,2025-05-02,2025-05-10,In Progress,,Low
39,Implement notifications,Feature,7.8,2025-05-29,2025-06-03,Done,2025-06-02,Medium
40,Document setup process,Documentation,7.2,2025-05-31,2025-06-12,To Do,,Low
41,Prototype user dashboard,Design,2.7,2025-05-01,2025-05-09,To Do,,Low
42,Study competitor tools,Research,3.1,2025-05-21,2025-05-31,Done,2025-05-29,Low
43,Update README,Documentation,9.7,2025-05-19,2025-05-23,To Do,,Medium
44,Design homepage layout,Design,6.4,2025-05-28,2025-06-11,Done,2025-06-11,Low
45,Setup client call,Meeting,1.0,2025-05-24,2025-06-05,In Progress,,Low
46,Add user profile page,Feature,5.8,2025-05-31,2025-06-11,In Progress,,Medium
47,Benchmark framework,Research,1.6,2025-05-02,2025-05-07,In Progress,,Low
48,Benchmark framework,Research,5.6,2025-05-08,2025-05-14,In Progress,,Low
49,Update README,Documentation,9.7,2025-05-25,2025-05-31,In Progress,,Low
50,Conduct regression testing,Testing,6.2,2025-05-28,2025-06-09,In Progress,,Low
51,Deploy to staging,Deployment,3.5,2025-05-16,2025-05-22,In Progress,,Low
52,Prototype user dashboard,Design,8.6,2025-05-24,2025-05-27,Done,2025-05-24,Medium
53,Update README,Documentation,7.5,2025-05-06,2025-05-11,To Do,,Low
54,Design homepage layout,Design,9.3,2025-05-24,2025-06-07,Done,2025-06-05,Low
55,Create logo,Design,2.9,2025-05-06,2025-05-14,Done,2025-05-11,Low
56,Patch API error,Bug Fix,7.2,2025-05-31,2025-06-13,To Do,,Medium
57,Fix login issue,Bug Fix,9.8,2025-05-26,2025-06-06,In Progress,,Medium
58,Setup client call,Meeting,8.1,2025-05-21,2025-05-30,To Do,,Medium
59,Prototype user dashboard,Design,1.2,2025-05-28,2025-06-06,To Do,,Low
60,Setup client call,Meeting,3.2,2025-05-19,2025-05-28,In Progress,,Low
61,Implement notifications,Feature,9.1,2025-05-01,2025-05-08,In Progress,,Medium
62,Resolve crash bug,Bug Fix,8.8,2025-05-15,2025-05-17,Done,2025-05-15,High
63,Study competitor tools,Research,8.6,2025-05-27,2025-06-09,To Do,,Low
64,Investigate new ML model,Research,9.3,2025-05-05,2025-05-08,To Do,,Medium
65,Study competitor tools,Research,9.1,2025-05-12,2025-05-21,To Do,,Low
