task_id,task_text,category,priority,status,due_date
1,UI glitch in menu,Bug,Low,To Do,2025-06-26
2,Fix login issue,Bug,High,To Do,2025-06-29
3,Null pointer error,Bug,Medium,To Do,2025-06-28
4,Resolve payment bug,Bug,Low,In Progress,2025-07-03
5,Crash on launch,Bug,Medium,In Progress,2025-06-26
6,Fix login issue,Bug,Low,To Do,2025-06-17
7,Null pointer error,Bug,Medium,To Do,2025-06-19
8,Fix login issue,Bug,High,Done,2025-06-30
9,Null pointer error,Bug,Medium,To Do,2025-06-30
10,UI glitch in menu,Bug,High,Done,2025-06-20
11,Crash on launch,Bug,High,In Progress,2025-06-13
12,Crash on launch,Bug,High,To Do,2025-07-02
13,UI glitch in menu,Bug,Low,In Progress,2025-07-06
14,Crash on launch,Bug,Low,Done,2025-06-30
15,Resolve payment bug,Bug,High,Done,2025-07-01
16,UI glitch in menu,Bug,Low,To Do,2025-06-23
17,Fix login issue,Bug,High,To Do,2025-07-08
18,UI glitch in menu,Bug,Medium,Done,2025-06-13
19,Null pointer error,Bug,Medium,Done,2025-07-10
20,UI glitch in menu,Bug,High,In Progress,2025-06-14
21,UI glitch in menu,Bug,Low,In Progress,2025-07-01
22,Null pointer error,Bug,High,Done,2025-07-09
23,UI glitch in menu,Bug,High,Done,2025-06-29
24,UI glitch in menu,Bug,High,Done,2025-06-19
25,Resolve payment bug,Bug,Low,To Do,2025-06-13
26,Null pointer error,Bug,Medium,Done,2025-07-02
27,UI glitch in menu,Bug,Low,To Do,2025-06-18
28,Null pointer error,Bug,Low,Done,2025-06-29
29,Fix login issue,Bug,Low,To Do,2025-07-11
30,Crash on launch,Bug,High,Done,2025-07-03
31,Crash on launch,Bug,Low,Done,2025-07-04
32,Fix login issue,Bug,Low,In Progress,2025-07-08
33,Crash on launch,Bug,Low,In Progress,2025-06-26
34,Crash on launch,Bug,Low,To Do,2025-06-22
35,UI glitch in menu,Bug,Low,To Do,2025-06-22
36,Null pointer error,Bug,Low,Done,2025-07-09
37,Resolve payment bug,Bug,Medium,To Do,2025-06-12
38,Null pointer error,Bug,High,Done,2025-07-07
39,Null pointer error,Bug,Medium,In Progress,2025-06-28
40,Crash on launch,Bug,Medium,In Progress,2025-07-07
41,Resolve payment bug,Bug,High,To Do,2025-06-27
42,Fix login issue,Bug,High,Done,2025-07-08
43,Fix login issue,Bug,High,Done,2025-06-17
44,Null pointer error,Bug,High,To Do,2025-07-04
45,Fix login issue,Bug,Medium,To Do,2025-06-26
46,UI glitch in menu,Bug,Low,To Do,2025-06-26
47,Null pointer error,Bug,Low,To Do,2025-07-04
48,Crash on launch,Bug,High,Done,2025-06-12
49,Null pointer error,Bug,High,To Do,2025-06-13
50,Fix login issue,Bug,Low,In Progress,2025-07-04
51,UI glitch in menu,Bug,High,To Do,2025-06-17
52,Null pointer error,Bug,Medium,To Do,2025-06-13
53,UI glitch in menu,Bug,High,Done,2025-06-13
54,Crash on launch,Bug,Low,In Progress,2025-06-18
55,Crash on launch,Bug,Medium,In Progress,2025-07-09
56,Null pointer error,Bug,Low,Done,2025-06-26
57,Crash on launch,Bug,High,Done,2025-06-29
58,Fix login issue,Bug,Medium,To Do,2025-06-16
59,Fix login issue,Bug,High,In Progress,2025-07-06
60,Resolve payment bug,Bug,High,In Progress,2025-06-25
61,Crash on launch,Bug,High,To Do,2025-06-23
62,Null pointer error,Bug,Low,In Progress,2025-07-06
63,UI glitch in menu,Bug,Low,In Progress,2025-06-14
64,Resolve payment bug,Bug,Medium,In Progress,2025-07-03
65,Resolve payment bug,Bug,Medium,To Do,2025-07-04
66,Crash on launch,Bug,Medium,Done,2025-07-10
67,Resolve payment bug,Bug,Low,Done,2025-07-08
68,UI glitch in menu,Bug,Medium,In Progress,2025-06-14
69,Null pointer error,Bug,High,Done,2025-07-08
70,Resolve payment bug,Bug,High,In Progress,2025-06-20
71,Fix login issue,Bug,Medium,To Do,2025-06-18
72,Crash on launch,Bug,Medium,Done,2025-06-29
73,Resolve payment bug,Bug,Medium,In Progress,2025-07-07
74,UI glitch in menu,Bug,High,Done,2025-06-15
75,Crash on launch,Bug,Medium,In Progress,2025-06-13
76,Null pointer error,Bug,Medium,In Progress,2025-06-14
77,UI glitch in menu,Bug,Low,Done,2025-06-29
78,Fix login issue,Bug,Low,Done,2025-06-15
79,Resolve payment bug,Bug,Low,To Do,2025-07-08
80,Fix login issue,Bug,High,Done,2025-07-10
81,Crash on launch,Bug,Low,In Progress,2025-06-25
82,Fix login issue,Bug,High,In Progress,2025-06-17
83,Null pointer error,Bug,Medium,In Progress,2025-06-29
84,Null pointer error,Bug,High,To Do,2025-06-14
85,Crash on launch,Bug,Low,In Progress,2025-06-27
86,Resolve payment bug,Bug,Low,Done,2025-06-18
87,Crash on launch,Bug,High,To Do,2025-07-10
88,Fix login issue,Bug,Low,To Do,2025-06-20
89,Resolve payment bug,Bug,High,In Progress,2025-07-05
90,UI glitch in menu,Bug,High,To Do,2025-06-18
91,Null pointer error,Bug,Low,To Do,2025-06-28
92,Crash on launch,Bug,Medium,Done,2025-06-28
93,UI glitch in menu,Bug,Low,In Progress,2025-06-18
94,Null pointer error,Bug,Medium,To Do,2025-06-24
95,Crash on launch,Bug,High,To Do,2025-07-06
96,Resolve payment bug,Bug,Medium,Done,2025-06-15
97,Crash on launch,Bug,High,In Progress,2025-07-10
98,Crash on launch,Bug,Medium,In Progress,2025-06-13
99,Fix login issue,Bug,Medium,Done,2025-06-26
100,Fix login issue,Bug,Medium,Done,2025-07-10
101,Implement search filter,Feature,High,In Progress,2025-07-04
102,Build notification system,Feature,Medium,To Do,2025-06-23
103,Build notification system,Feature,Medium,In Progress,2025-07-11
104,Implement search filter,Feature,High,Done,2025-06-29
105,Build notification system,Feature,High,In Progress,2025-06-24
106,Integrate chat module,Feature,High,In Progress,2025-07-06
107,Implement search filter,Feature,Medium,To Do,2025-07-06
108,Integrate chat module,Feature,High,In Progress,2025-06-12
109,Build notification system,Feature,High,To Do,2025-07-02
110,Add dark mode,Feature,Low,Done,2025-06-18
111,Implement search filter,Feature,Medium,In Progress,2025-06-20
112,Implement search filter,Feature,Low,In Progress,2025-06-26
113,Add dark mode,Feature,Low,To Do,2025-06-25
114,Build notification system,Feature,Medium,In Progress,2025-07-07
115,Add dark mode,Feature,Medium,To Do,2025-06-18
116,Build notification system,Feature,Medium,To Do,2025-06-29
